,name,rating,review_count,desc_loc,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
0,TCS,3.3,1.1L,IT Services & Consulting | Bengaluru +444 other locations,Job Security,"Promotions, Salary, Work Satisfaction",10.2L,11.9k,4.1k,10.8k,93
1,Accenture,3.7,73.8k,IT Services & Consulting | Bengaluru +259 other locations,None,"Promotions, Salary, Work Satisfaction",7L,9.4k,34.9k,6.8k,49
2,Wipro,3.6,65.4k,IT Services & Consulting | Hyderabad +374 other locations,None,"Promotions, Salary, Work Satisfaction",4.9L,6.9k,304,4.7k,114
3,Cognizant,3.7,61.7k,IT Services & Consulting | Hyderabad +232 other locations,None,"Promotions, Salary, Work Satisfaction",6.1L,6.5k,536,5.5k,96
4,Capgemini,3.6,53.7k,IT Services & Consulting | Bengaluru +182 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",4.9L,5.6k,2.2k,3.7k,42
5,HDFC Bank,3.8,52.7k,Banking | Mumbai +1853 other locations,"Job Security, Skill Development","Promotions, Salary",1.5L,3.1k,343,3.3k,89
6,Infosys,3.5,49k,IT Services & Consulting | Bengaluru +246 other locations,Job Security,"Promotions, Salary, Work Satisfaction",5.3L,8.5k,2k,4.8k,120
7,HCLTech,3.4,46.2k,IT Services & Consulting | Chennai +231 other locations,None,"Promotions, Salary, Work Satisfaction",3.9L,4.6k,239,3.8k,71
8,ICICI Bank,4.0,46.1k,Banking | Mumbai +1445 other locations,"Job Security, Promotions, Skill Development",None,1.5L,3k,13,3.7k,73
9,Tech Mahindra,3.4,43.5k,IT Services & Consulting | Hyderabad +321 other locations,None,"Promotions, Salary, Work Satisfaction",2.9L,4.6k,601,3.4k,79
10,Genpact,3.6,42.6k,Analytics & KPO | Hyderabad +181 other locations,Job Security,"Promotions, Salary, Work Satisfaction",2.4L,3.9k,659,3.6k,66
11,TP,3.9,38.9k,BPO | Mumbai +256 other locations,"Work Life Balance, Job Security, Skill Development",None,99.8k,2.3k,1.4k,1.9k,38
12,Jio,4.4,33.7k,Telecom | Mumbai +1959 other locations,"Job Security, Skill Development, Company Culture",None,61.9k,4.4k,--,2.6k,93
13,Axis Bank,3.6,33.4k,Banking | Mumbai +1523 other locations,None,"Promotions, Work Satisfaction, Company Culture",1L,2k,247,2.2k,121
14,Concentrix Corporation,3.6,32.4k,BPO | Bengaluru +183 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1.3L,2k,20,3.1k,67
15,Amazon,3.9,31.6k,Internet | Bengaluru +516 other locations,"Company Culture, Work Life Balance, Salary",Promotions,1.6L,6k,56,3.6k,95
16,Reliance Retail,3.9,27.5k,Retail | Mumbai +1161 other locations,"Job Security, Skill Development, Work Life Balance",Promotions,75.7k,2k,84,1.9k,142
17,iEnergizer,4.6,27.2k,BPO | Noida +53 other locations,"Salary, Company Culture, Work Life Balance",None,24.7k,1.6k,106,552,29
18,LTIMindtree,3.6,26.6k,IT Services & Consulting | Bengaluru +145 other locations,None,"Promotions, Salary, Work Satisfaction",2L,3.5k,510,801,34
19,IBM,3.9,25.9k,IT Services & Consulting | Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,2.2L,2.6k,1.8k,2.6k,23
20,HDB Financial Services,3.9,25.8k,NBFC | Mumbai +1093 other locations,"Work Life Balance, Job Security, Skill Development","Promotions, Salary",49.3k,1.1k,2.1k,1.5k,73
21,Larsen & Toubro Limited,3.9,24.1k,Engineering & Construction | Chennai +772 other locations,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",76.8k,1.9k,291,2.5k,65
22,Deloitte,3.7,23.3k,Management Consulting | Hyderabad +183 other locations,None,"Promotions, Work Life Balance, Work Satisfaction",2.7L,3.4k,1.9k,2.4k,27
23,Kotak Mahindra Bank,3.6,22.6k,Banking | Mumbai +692 other locations,None,"Promotions, Work Satisfaction, Company Culture",87.4k,1.4k,182,1.3k,45
24,Reliance Industries,4.0,20.3k,Oil & Gas | Jamnagar +820 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,74.2k,1.6k,74,1.9k,38
25,Vodafone Idea,3.9,17.6k,Telecom | Pune +706 other locations,"Salary, Company Culture, Work Life Balance",Promotions,49.2k,699,86,2k,22
26,Bharti Airtel,3.8,17.1k,Telecom | Gurugram +794 other locations,None,Promotions,50.1k,1.1k,182,1.6k,101
27,BYJU'S,3.2,16.4k,EdTech | Bengaluru +321 other locations,None,"Job Security, Company Culture, Work Life Balance",51k,2.1k,1,1.7k,28
28,WNS,3.3,15.3k,IT Services & Consulting | Pune +66 other locations,None,"Promotions, Salary, Work Satisfaction",71.1k,1.3k,75,1.3k,24
29,IDFC FIRST Bank,3.9,14.7k,Banking | Mumbai +731 other locations,"Salary, Work Life Balance, Skill Development",None,50.7k,990,35,740,96
30,Ernst & Young,3.4,14.7k,Management Consulting | Bengaluru +135 other locations,None,"Promotions, Work Life Balance, Work Satisfaction",1.5L,1.4k,5.4k,1.1k,10
31,IndusInd Bank,3.4,14.3k,Banking | Mumbai +799 other locations,None,"Promotions, Company Culture, Work Satisfaction",52.7k,778,153,821,16
32,AU Small Finance Bank,3.8,14.3k,Banking | Jaipur +805 other locations,Salary,None,29.9k,713,186,597,28
33,Tata Motors,4.1,14.2k,Automobile | Pune +506 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,43.2k,1.3k,205,1.6k,45
34,Bajaj Finserv,4.0,13.2k,NBFC | Pune +1199 other locations,"Salary, Skill Development, Job Security",None,31.9k,779,2,740,19
35,Muthoot FinCorp,4.5,13.2k,NBFC | Bengaluru +1122 other locations,"Company Culture, Work Life Balance, Job Security",None,9.5k,2.4k,47,287,103
36,Flipkart,3.9,13k,Internet | Bengaluru +554 other locations,"Skill Development, Salary",Promotions,56.5k,1.7k,112,1.4k,105
37,PwC,3.3,12.7k,Management Consulting | Bengaluru +137 other locations,None,"Promotions, Work Life Balance, Work Satisfaction",1.3L,1.6k,1k,838,24
38,HDFC Life,3.8,12.1k,Insurance | Mumbai +717 other locations,Skill Development,None,33.4k,816,126,635,57
39,Infosys BPM,3.5,12.1k,BPO | Bengaluru +95 other locations,Job Security,"Promotions, Salary, Work Satisfaction",77.4k,1.1k,24,1.1k,8
40,Mahindra & Mahindra,4.0,12.1k,Automobile | Pune +566 other locations,"Job Security, Skill Development, Company Culture",Promotions,41.1k,883,7,1.2k,19
41,DXC Technology,3.6,12k,IT Services & Consulting | Bengaluru +131 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",75.3k,902,214,1.1k,9
42,Bandhan Bank,3.7,11.2k,Banking | Kolkata +1015 other locations,None,"Promotions, Work Satisfaction, Skill Development",25.7k,766,--,542,44
43,Digitide Solutions,3.5,10.4k,IT Services & Consulting | Hyderabad +274 other locations,None,"Promotions, Salary, Work Satisfaction",27.1k,578,331,781,47
44,Mphasis,3.3,10.3k,IT Services & Consulting | Bengaluru +64 other locations,None,"Promotions, Salary, Work Satisfaction",75.3k,941,68,859,133
45,Yes Bank,3.7,10.3k,Banking | Mumbai +541 other locations,None,"Job Security, Promotions, Company Culture",42.9k,567,212,632,18
46,Tata Steel,4.0,9.9k,Iron & Steel | Jamshedpur +226 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,34.8k,1.1k,--,676,52
47,Quess,3.8,9.8k,Recruitment | Bengaluru +758 other locations,None,"Promotions, Job Security",31.6k,548,41,455,23
48,Asian Paints,3.9,9.6k,Chemicals | Mumbai +556 other locations,"Salary, Skill Development, Job Security",Promotions,26.4k,876,82,910,36
49,Maruti Suzuki,4.1,9.6k,Automobile | Gurugram +457 other locations,"Job Security, Salary, Skill Development",None,28.9k,798,21,1.1k,25
50,Startek,3.0,9.6k,BPO | Bengaluru +104 other locations,None,"Promotions, Work Satisfaction, Salary",25.1k,653,226,691,16
51,UltraTech Cement,4.1,9.5k,Building Material | Mumbai +539 other locations,"Job Security, Skill Development, Company Culture",None,24.9k,812,33,635,47
52,Paytm,3.2,9.4k,FinTech | Noida +427 other locations,None,"Job Security, Promotions, Company Culture",34.3k,904,769,596,24
53,Bajaj Finance,3.9,9.3k,NBFC | Pune +1000 other locations,"Salary, Skill Development, Job Security",None,23.4k,450,5.8k,521,15
54,Shriram Finance,3.9,9.2k,NBFC | Chennai +1119 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,15.9k,459,5,35,46
55,Sutherland Global Services,3.4,9.1k,BPO | Chennai +82 other locations,None,"Promotions, Work Satisfaction, Skill Development",35.8k,811,321,916,30
56,Equitas Small Finance Bank,4.3,8.9k,Banking | Chennai +486 other locations,"Job Security, Company Culture, Work Life Balance",None,13.8k,1k,36,415,43
57,Wells Fargo,3.6,8.7k,Financial Services | Bengaluru +27 other locations,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",63.2k,698,347,868,13
58,EXL Service,3.6,8.7k,Analytics & KPO | Noida +61 other locations,Job Security,"Promotions, Salary, Skill Development",45.6k,928,73,812,20
59,Cipla,4.1,8.6k,Pharma | Mumbai +294 other locations,"Salary, Work Life Balance, Skill Development",None,26.8k,605,19,870,20
60,Ericsson,3.9,8.4k,Telecom | Noida +161 other locations,"Work Life Balance, Company Culture","Promotions, Salary",43.1k,477,41,1k,17
61,Samsung,3.9,8.4k,Consumer Electronics & Appliances | Noida +581 other locations,Salary,Promotions,26.5k,634,47,530,16
62,Dr. Reddy's,4.0,8.3k,Pharma | Hyderabad +215 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions,26k,524,27,750,30
63,Optum Global Solutions,4.0,8k,IT Services & Consulting | Hyderabad +69 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,51.4k,786,145,701,2
64,JSW Steel,3.9,8k,Iron & Steel | Ballari +199 other locations,"Job Security, Skill Development",Promotions,32k,854,113,625,32
65,JPMorgan Chase & Co.,3.8,7.9k,Financial Services | Bengaluru +56 other locations,Job Security,Promotions,91.7k,891,523,862,14
66,Delhivery,3.8,7.9k,Logistics | Gurugram +764 other locations,None,Promotions,21.8k,623,271,668,71
67,ICICI Prudential Life Insurance,3.9,7.8k,Insurance | Mumbai +511 other locations,"Job Security, Salary, Skill Development",None,23.1k,490,463,641,13
68,Hexaware Technologies,3.4,7.7k,IT Services & Consulting | Chennai +70 other locations,None,"Promotions, Salary, Work Satisfaction",55.7k,834,506,564,30
69,Ujjivan Small Finance Bank,4.0,7.7k,Banking | Bengaluru +544 other locations,"Company Culture, Work Life Balance, Skill Development",None,13.3k,332,77,592,26
70,Sun Pharmaceutical Industries,4.1,7.7k,Pharma | Vadodara +264 other locations,"Salary, Job Security, Skill Development",None,23.7k,689,398,612,16
71,Jana Small Finance Bank,3.7,7.7k,Banking | Bengaluru +424 other locations,Salary,Promotions,14.8k,310,61,634,17
72,HGS,3.7,7.6k,Emerging Technologies | Bengaluru +122 other locations,None,"Promotions, Salary",20.5k,278,13,969,32
73,Zydus Lifesciences,4.0,7.5k,Pharma | Ahmedabad +181 other locations,"Salary, Work Life Balance, Skill Development",None,20.4k,504,47,636,21
74,Amazon Development Centre India,3.8,7.5k,Internet | Hyderabad +147 other locations,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development",40.1k,900,9,365,12
75,Ekart Logistics,3.9,7.5k,Logistics | Bengaluru +740 other locations,Skill Development,Promotions,17k,413,--,428,76
76,Lupin,4.1,7.4k,Pharma | Pune +204 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions,22.5k,453,47,775,11
77,KPMG India,3.4,7.4k,Management Consulting | Bengaluru +112 other locations,None,"Promotions, Work Life Balance, Work Satisfaction",69.7k,948,84,756,8
78,L&T Construction,3.9,7.3k,Engineering & Construction | Chennai +435 other locations,"Job Security, Skill Development, Salary","Work Life Balance, Promotions",19.2k,954,--,932,41
79,Axis Max Life Insurance,4.0,7.3k,Insurance | New Delhi +509 other locations,"Skill Development, Company Culture, Work Life Balance",None,20.1k,423,1.4k,511,11
80,ITC,3.9,7.2k,FMCG | Bengaluru +378 other locations,"Job Security, Skill Development",Promotions,25.3k,706,75,648,14
81,Hindustan Unilever,4.2,7.2k,FMCG | Mumbai +545 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions,20.4k,478,30,714,6
82,Megha Engineering & Infrastructures,3.9,7k,Engineering & Construction | Hyderabad +408 other locations,Work Life Balance,Promotions,18.9k,585,17,553,39
83,Coforge,3.3,7k,IT Services & Consulting | Noida +103 other locations,None,"Promotions, Work Satisfaction, Skill Development",51.9k,755,159,294,102
84,Tata Projects,4.2,6.9k,Engineering & Construction | Mumbai +287 other locations,"Salary, Company Culture, Work Life Balance",None,22.8k,626,30,559,63
85,Bajaj Life Insurance,3.8,6.7k,Insurance | Pune +618 other locations,Salary,Promotions,17.8k,452,79,483,17
86,Cholamandalam Investment & Finance,3.8,6.7k,Financial Services | Chennai +869 other locations,Salary,None,13.4k,300,46,310,41
87,L&T Technology Services,3.0,6.6k,IT Services & Consulting | Bengaluru +95 other locations,None,"Promotions, Salary, Work Satisfaction",45.1k,635,--,457,11
88,FIS,3.8,6.6k,FinTech | Pune +59 other locations,Work Life Balance,"Promotions, Job Security, Skill Development",39.2k,545,239,729,17
89,Oracle,3.3,6.6k,Software Product | Bengaluru +56 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",65.1k,963,164,630,39
90,Omega Healthcare,3.8,6.5k,BPO | Chennai +70 other locations,None,"Promotions, Salary",27.9k,562,151,403,32
91,JLL,4.1,6.4k,Real Estate | Gurugram +87 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,25.2k,503,411,551,21
92,Muthoot Finance,3.7,6.4k,NBFC | Bengaluru +793 other locations,None,Promotions,13.2k,364,162,336,12
93,IIFL Finance,4.0,6.4k,NBFC | Mumbai +814 other locations,"Work Life Balance, Company Culture, Skill Development",None,13.9k,335,57,407,19
94,eClerx,3.1,6.4k,IT Services & Consulting | Pune +32 other locations,None,"Promotions, Salary, Work Satisfaction",33.3k,649,424,566,26
95,Indian Army,4.7,6.3k,Defence & Aerospace | New Delhi +360 other locations,"Job Security, Company Culture, Work Life Balance",None,9.3k,212,--,746,12
96,Piramal Finance,4.2,6.2k,NBFC | Mumbai +434 other locations,"Company Culture, Work Life Balance, Skill Development",None,12.7k,303,638,398,46
97,DMart,3.9,6.2k,Retail | Mumbai +255 other locations,"Job Security, Company Culture",Promotions,19.5k,566,239,485,17
98,PolicyBazaar,3.8,6.2k,Internet | Gurugram +156 other locations,Salary,Work Life Balance,18.2k,650,1.4k,250,28
99,Virtusa Consulting Services,3.7,6.2k,IT Services & Consulting | Hyderabad +55 other locations,None,"Promotions, Work Satisfaction, Job Security",57.6k,685,168,326,23
100,HCL Group,3.5,6.1k,IT Services & Consulting | Chennai +97 other locations,Job Security,"Promotions, Salary, Work Satisfaction",39.1k,522,--,663,1
101,HSBC Group,3.8,6.1k,Financial Services | Bengaluru +63 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",45.1k,562,131,1.1k,26
102,Indiamart Intermesh,3.5,6k,Internet | Noida +169 other locations,None,"Work Satisfaction, Promotions, Company Culture",21.8k,772,198,453,17
103,SMFG India Credit,3.9,6k,NBFC | Mumbai +607 other locations,Salary,Promotions,11.5k,216,95,361,22
104,Access Healthcare,3.7,6k,BPO | Chennai +62 other locations,Job Security,Promotions,29.7k,412,1.5k,368,9
105,BigBasket,3.9,5.9k,Internet | Bengaluru +144 other locations,Job Security,Promotions,19.9k,500,79,387,36
106,Siemens,4.0,5.8k,Industrial Automation | Bengaluru +156 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,34.9k,517,63,638,13
107,ICICI Lombard General Insurance Company,3.5,5.8k,Insurance | Mumbai +321 other locations,None,"Promotions, Work Satisfaction, Company Culture",20.5k,368,216,381,22
108,GlobalLogic,3.5,5.8k,IT Services & Consulting | Hyderabad +62 other locations,None,"Promotions, Salary, Work Satisfaction",41.8k,691,69,529,21
109,Manappuram Finance,3.9,5.8k,NBFC | Bengaluru +660 other locations,"Work Life Balance, Promotions, Skill Development",None,9.8k,232,25,266,35
110,Firstsource Solutions,3.5,5.8k,BPO | Bengaluru +73 other locations,None,"Promotions, Salary, Work Satisfaction",25k,367,116,578,13
111,Aurobindo Pharma,4.0,5.8k,Pharma | Hyderabad +115 other locations,"Job Security, Salary, Work Life Balance",Promotions,20.5k,297,34,475,9
112,Tata Capital,3.9,5.8k,NBFC | Mumbai +453 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,16.3k,288,3.7k,266,23
113,Shapoorji Pallonji Group,4.1,5.7k,Engineering & Construction | Mumbai +190 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,15.3k,440,44,647,14
114,Standard Chartered,3.6,5.7k,Banking | Chennai +69 other locations,None,"Promotions, Work Satisfaction, Salary",42.6k,329,1,314,--
115,UST,3.7,5.7k,IT Services & Consulting | Bengaluru +52 other locations,Work Life Balance,"Promotions, Job Security, Salary",41k,606,79,417,25
116,Udaan,3.9,5.7k,Internet | Bengaluru +366 other locations,"Salary, Skill Development","Job Security, Promotions",14.8k,373,--,760,16
117,Apollo Hospitals,4.0,5.7k,Healthcare | Chennai +226 other locations,"Job Security, Skill Development, Company Culture",Promotions,16.9k,497,226,518,2
118,Mahindra Finance,3.9,5.7k,NBFC | Mumbai +739 other locations,Work Life Balance,Promotions,12.3k,226,130,519,12
119,Bosch Global Software Technologies,3.7,5.7k,IT Services & Consulting | Bengaluru +47 other locations,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction",41.2k,396,46,630,21
120,Swiggy,3.7,5.6k,Internet | Bengaluru +238 other locations,None,"Job Security, Promotions, Work Life Balance",24.3k,591,190,354,18
121,Citicorp,3.6,5.6k,Financial Services | Pune +68 other locations,Salary,"Promotions, Work Satisfaction, Skill Development",54.8k,642,--,521,6
122,Ashok Leyland,4.0,5.6k,Automobile | Chennai +265 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions,18.9k,330,4,650,15
123,Hero MotoCorp,4.1,5.5k,Automobile | Gurugram +372 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,16.3k,422,8,594,10
124,CGI Inc,4.0,5.5k,IT Services & Consulting | Bengaluru +43 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",47.5k,570,535,362,5
125,Cyient,3.6,5.3k,IT Services & Consulting | Hyderabad +49 other locations,None,"Promotions, Salary, Skill Development",27.7k,338,144,473,3
126,SBI Cards & Payment Services,3.6,5.3k,Financial Services | Gurugram +448 other locations,None,"Promotions, Work Satisfaction, Company Culture",16.1k,319,116,355,14
127,BNY,3.6,5.3k,Financial Services | Pune +27 other locations,None,"Promotions, Job Security, Work Satisfaction",32.3k,406,58,535,1
128,Kalpataru Projects International,4.2,5.3k,Engineering & Construction | Mumbai +328 other locations,"Job Security, Skill Development, Salary",None,14.2k,344,--,217,22
129,NTT DATA,3.8,5.3k,IT Services & Consulting | Bengaluru +81 other locations,Work Life Balance,Promotions,38.9k,767,9,164,2
130,Nagarjuna Construction Company,4.0,5.3k,Engineering & Construction | Hyderabad +300 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,12.4k,460,12,418,12
131,IQVIA,3.7,5.3k,Clinical Research | Bengaluru +67 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",32.1k,573,33,531,10
132,Schneider Electric,4.1,5.2k,Industrial Automation | Bengaluru +121 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,25.9k,469,547,448,13
133,JustDial,3.5,5.2k,Internet | Noida +236 other locations,None,"Promotions, Work Satisfaction, Job Security",15.5k,397,49,377,9
134,SBI Life Insurance Company,3.7,5.2k,Insurance | Mumbai +658 other locations,Job Security,"Promotions, Work Life Balance, Work Satisfaction",11.8k,318,7,336,18
135,CBRE,4.1,5.2k,Real Estate | Hyderabad +92 other locations,"Company Culture, Work Life Balance, Job Security",None,19.2k,362,26,460,19
136,TVS Motor,3.8,5.1k,Automobile | Hosur +354 other locations,"Job Security, Skill Development, Salary",Promotions,16.5k,422,98,546,15
137,Persistent Systems,3.6,5.1k,IT Services & Consulting | Pune +42 other locations,None,"Promotions, Job Security, Work Satisfaction",47.1k,721,438,378,33
138,State Bank of India,3.8,5k,Banking | Mumbai +628 other locations,"Job Security, Skill Development, Salary",None,11.8k,325,1,414,5
139,Atos,3.8,5k,IT Services & Consulting | Pune +49 other locations,Work Life Balance,"Promotions, Salary",33.9k,416,110,462,10
140,KEC International,4.0,5k,Engineering & Construction | Mumbai +318 other locations,"Job Security, Salary, Company Culture",Promotions,13.6k,428,15,452,54
141,ITC Infotech,3.8,4.9k,IT Services & Consulting | Bengaluru +69 other locations,"Work Life Balance, Job Security",Promotions,30.5k,424,72,285,11
142,vivo,4.1,4.9k,Consumer Electronics & Appliances | Noida +414 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions,12.9k,246,12,647,3
143,Amdocs,3.6,4.9k,Software Product | Pune +24 other locations,Company Culture,"Promotions, Job Security, Work Satisfaction",37.9k,564,9,617,20
144,JBM Group,3.9,4.9k,Auto Components | Gurugram +119 other locations,"Job Security, Skill Development",Promotions,14.1k,360,65,349,21
145,Varun Beverages,4.0,4.9k,Beverage | New Delhi +384 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,12.4k,357,76,327,32
146,Ecom Express,4.1,4.8k,Logistics | Gurugram +779 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None,9.4k,268,--,324,39
147,Utkarsh Small Finance Bank,3.6,4.8k,Banking | Varanasi +422 other locations,None,"Promotions, Company Culture, Work Satisfaction",11.7k,320,57,285,53
148,Eviden,3.6,4.8k,IT Services & Consulting | Pune +39 other locations,Work Life Balance,"Promotions, Salary, Job Security",26.9k,316,--,3,11
149,Nagarro,3.9,4.8k,IT Services & Consulting | Gurugram +48 other locations,"Company Culture, Work Life Balance",Promotions,33.4k,842,304,1.1k,19
150,Randstad,3.7,4.7k,Recruitment | Hyderabad +370 other locations,None,"Promotions, Job Security, Work Satisfaction",17.3k,341,123,351,7
151,EY Global Delivery Services ( EY GDS),3.5,4.7k,IT Services & Consulting | Bengaluru +56 other locations,Job Security,"Promotions, Work Satisfaction, Work Life Balance",53.2k,906,5,275,16
152,Bosch,4.1,4.7k,Auto Components | Bengaluru +133 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions,21.3k,388,--,605,18
153,Havells,3.9,4.6k,Electrical Equipment | Noida +265 other locations,"Work Life Balance, Salary",Promotions,15.8k,302,39,323,13
154,L&T Finance,3.9,4.6k,NBFC | Mumbai +654 other locations,Salary,Promotions,12.1k,228,--,263,34
155,Hewlett Packard Enterprise,4.0,4.6k,IT Services & Consulting | Bengaluru +104 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,27.6k,270,234,550,18
156,Aditya Birla Fashion and Retail,4.0,4.6k,Fashion & Textile | Bengaluru +293 other locations,"Job Security, Skill Development, Company Culture",Promotions,13.3k,271,64,396,14
157,Cars24,3.5,4.6k,Internet | Gurugram +172 other locations,None,"Job Security, Promotions, Company Culture",15.9k,414,104,414,18
158,Intas Pharmaceuticals,4.1,4.6k,Pharma | Ahmedabad +150 other locations,"Job Security, Salary, Work Life Balance",None,17.8k,267,55,374,9
159,R1 RCM,3.8,4.6k,BPO | Hyderabad +49 other locations,None,Promotions,22.6k,367,174,343,23
160,Mahindra Logistics,3.7,4.6k,Logistics | Mumbai +233 other locations,None,"Promotions, Salary",12.9k,254,91,451,24
161,Hetero,3.9,4.6k,Pharma | Hyderabad +71 other locations,"Job Security, Work Life Balance",Promotions,15.3k,368,67,352,15
162,Tata AIA Life Insurance,3.9,4.6k,Insurance | Mumbai +455 other locations,"Job Security, Skill Development, Salary",Promotions,14.7k,262,801,305,23
163,Home Credit Finance,4.0,4.6k,NBFC | Gurugram +139 other locations,"Work Life Balance, Company Culture, Skill Development",None,9.2k,153,105,633,6
164,Dell,3.8,4.6k,Consumer Electronics & Appliances | Bengaluru +116 other locations,"Work Life Balance, Company Culture","Promotions, Job Security",29.4k,434,39,544,25
165,Deutsche Bank,3.8,4.5k,Banking | Pune +42 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,38.2k,431,408,412,81
166,Berger Paints,3.7,4.5k,Chemicals | Kolkata +367 other locations,None,"Promotions, Work Life Balance, Company Culture",10.6k,448,160,280,6
167,Lenskart,3.3,4.5k,Internet | New Delhi +252 other locations,None,"Promotions, Company Culture, Work Life Balance",13.5k,479,178,219,23
168,OPPO,3.9,4.5k,Consumer Electronics & Appliances | Greater Noida +406 other locations,Skill Development,"Promotions, Job Security",11.8k,260,10,606,10
169,Hyundai Motor India Limited,4.1,4.4k,Automobile | Chennai +292 other locations,"Job Security, Skill Development, Salary",None,14.4k,330,7,523,31
170,Motilal Oswal Financial Services,3.7,4.4k,Financial Services | Mumbai +169 other locations,Skill Development,"Promotions, Work Life Balance, Work Satisfaction",13.4k,556,43,176,90
171,TeamLease Services,3.9,4.4k,Recruitment | Bengaluru +405 other locations,Work Life Balance,Promotions,16.5k,255,--,224,6
172,VE Commercial Vehicles,3.9,4.4k,Automobile | Indore +180 other locations,"Job Security, Company Culture, Skill Development","Promotions, Salary",14.3k,296,24,349,13
173,Thermax Limited,4.2,4.3k,Industrial Machinery | Pune +259 other locations,"Job Security, Company Culture, Work Life Balance",None,13.4k,353,40,379,24
174,Jubilant Foods Works,3.7,4.3k,Hospitality | New Delhi +268 other locations,None,"Promotions, Work Satisfaction",9.8k,258,375,189,18
175,Macleods Pharmaceuticals,3.7,4.3k,Pharma | Mumbai +137 other locations,Job Security,"Promotions, Company Culture",16k,274,26,339,3
176,Carelon Global Solutions,3.9,4.2k,IT Services & Consulting | Bengaluru +20 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,29.2k,429,80,16,9
177,Aakash Educational Services,3.2,4.2k,Education & Training | New Delhi +250 other locations,None,"Promotions, Work Life Balance, Job Security",14.2k,382,115,216,25
178,Bajaj Auto,3.8,4.2k,Automobile | Pune +324 other locations,None,Promotions,14.7k,333,40,499,19
179,Jindal Steel Limited,3.9,4.2k,Iron & Steel | Angul +174 other locations,Skill Development,Promotions,16k,442,77,339,37
180,State Street Corporation,3.5,4.2k,Financial Services | Bengaluru +36 other locations,None,"Promotions, Work Satisfaction, Job Security",34k,298,5,263,11
181,Hindalco Industries,4.2,4.2k,Metals & Mining | Sambalpur +131 other locations,"Job Security, Work Life Balance, Skill Development",None,13.1k,317,8,338,11
182,LG Electronics,3.8,4.2k,Consumer Electronics & Appliances | Pune +301 other locations,Job Security,Promotions,11.3k,266,12,405,18
183,Kogta Financial India Limited,4.7,4.1k,NBFC | Jaipur +260 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None,1.9k,252,91,32,39
184,Royal Enfield,4.2,4.1k,Automobile | Chennai +374 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions,15k,206,3,402,38
185,HDFC ERGO General Insurance,4.0,4.1k,Insurance | Mumbai +328 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,12.2k,207,3,279,7
186,DCB Bank,3.8,4.1k,Banking | Mumbai +346 other locations,Work Life Balance,Promotions,9.9k,235,18,257,23
187,John Deere,4.0,4.1k,Industrial Machinery | Pune +155 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions,15.7k,272,4,428,12
188,RBL Bank,3.5,4.1k,Banking | Mumbai +293 other locations,None,"Promotions, Company Culture, Work Satisfaction",18.7k,250,44,230,11
189,Tata Communications,3.9,4k,Telecom | Pune +102 other locations,"Work Life Balance, Job Security","Promotions, Salary",23.7k,307,154,430,13
190,Publicis Sapient,3.2,4k,IT Services & Consulting | Bengaluru +47 other locations,None,"Promotions, Job Security, Work Satisfaction",33.3k,712,204,405,70
